"parameter_values","Bias_sq","Variance","Test","Training"
"2",0.727413113511067,0.000180435934837765,0.737593549445904,0.625889251127104
"15",0.000942851775803215,0.00144891524860997,0.0123917670244132,0.00829257779533153
"28",0.000205445786879317,0.00286327506043066,0.01306872084731,0.00658500050924183
"41",0.000186181327452808,0.00481635507691792,0.0150025364043707,0.00519249359959444
"54",0.000212994113664237,0.0082665543824476,0.0184795484961118,0.0040808583810414
"67",0.00037361361807654,0.0236020854641708,0.0339756990822474,0.00354882852332554
"80",0.00037361361807654,0.0236020854641708,0.0339756990822474,0.00354882852332554
"93",0.00037361361807654,0.0236020854641708,0.0339756990822474,0.00354882852332554
