"parameter_values","Bias_sq","Variance","Test","Training"
"2",0.134428798181884,0.0148359532684257,0.15926475145031,0.157723970385271
"4",0.0130449849765728,0.0123126554912297,0.0353576404678024,0.0251686144900868
"6",0.00363091516557809,0.00807341595406309,0.0217043311196412,0.00638590411498208
"8",0.00277431168480905,0.00805064243733154,0.0208249541221406,0.00317267135539369
"10",0.00280387949851047,0.0089933683804859,0.0217972478789964,0.00185146513054289
"12",0.00279695609482272,0.00943557008293081,0.0222325261777535,0.00136806626942143
"14",0.00279833200690649,0.00954469527214699,0.0223430272790535,0.00123219907555689
"16",0.00279826135008393,0.00955891631701983,0.0223571776671038,0.00120786804302108
