"parameter_values","Bias_sq","Variance","Test","Training"
"1",0.00276952986623349,0.0100099821961744,0.0227795120624079,0
"3",0.00428020792190761,0.00346381620382414,0.0177440241257318,0.00783220133440726
"5",0.0068608842742559,0.0021318390386521,0.018992723312908,0.0121510468196211
"7",0.0129757018349546,0.00151742475463729,0.0244931265895919,0.0172846785095649
"9",0.0216422234542416,0.00120539871025168,0.0328476221644933,0.0237512304343877
"11",0.0319054028511114,0.000994983046360596,0.042900385897472,0.0317099188973265
"13",0.0408078560794062,0.000857281671901942,0.0516651377513081,0.0380363593124512
"15",0.0518462583919682,0.000746159609905096,0.0625924180018733,0.0474347969406696
