"parameter_values","Bias_sq","Variance","Test","Training"
"1",0.728729367580783,0.000180435456967921,0.738909803037751,0.627039167109328
"2",0.381026028704366,0.000334700551085083,0.391360729255451,0.283276550664207
"3",0.0432902581561288,0.000487257503345049,0.0537775156594739,0.0384262436557671
"4",0.0337730135602004,0.00062523821724789,0.0443982517774483,0.0273440951217082
"5",0.0199951246931075,0.000765538129603317,0.0307606628227108,0.0204030413841717
"6",0.00885688218285423,0.000924234499079659,0.0197811166819339,0.0130373148158671
"7",0.00887339996771244,0.00107384234826854,0.019947242315981,0.0129073169749516
"8",0.00488307048798189,0.00118477735986298,0.0160678478478449,0.0109060998545724
