"parameter_values","Bias_sq","Variance","Test","Training"
"-4",0.0216714698663463,0.00073725252027369,0.03240872238662,0.0207907016527173
"-3",0.0299213540243846,0.000631388693548543,0.0405527427179332,0.024987313382036
"-2",0.0517311996692953,0.000473081301177972,0.0622042809704733,0.0396288835085992
"-1",0.20138005557317,0.000317596185841257,0.211697651759012,0.164173956549798
"0",0.523575928137137,0.000185845918591458,0.533761774055728,0.461869734023996
"1",0.868628171637017,9.81309005052799e-05,0.878726302537522,0.900806294791342
"2",1.28684280905567,6.58489019338588e-05,1.2969086579576,1.34430889626255
"3",1.36816929404013,6.47471159102894e-05,1.37823404115604,1.42666560750269
